Timestamp,acc.z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
349742,0.7352811694145203,33927,32779,33097,18823
349752,0.7254024744033813,35341,29269,30770,22525
349762,0.7090877294540405,36439,24458,28407,27660
349772,0.748968243598938,38176,18630,25364,32691
349782,0.7289639115333557,51981,40633,46089,50812
349792,0.757612407207489,53202,34209,43226,53202
349802,0.8231573700904846,56642,35689,45906,56642
349812,0.8564754128456116,57158,35635,46600,57158
349822,0.9281553030014038,57949,36668,46851,57949
349832,1.008846640586853,57949,37534,46194,57949
349842,1.0240356922149658,58128,39011,45811,58128
349852,1.0485515594482422,56601,47703,50966,55192
349862,1.1102337837219238,53842,53617,54802,49119
349872,1.1428455114364624,50562,57646,57611,42068
349882,1.1793302297592163,47478,58489,58489,36750
349892,1.1845629215240479,47814,58489,58489,36285
349902,1.187593698501587,47477,58398,58398,36594
349912,1.2319501638412476,46793,58218,58218,37205
349922,1.228236198425293,41143,56790,57622,32237
349932,1.2172542810440063,27600,43762,47909,20614
349942,1.1921272277832031,36832,32596,40293,32938
349952,1.1616019010543823,44036,20210,31331,42937
349962,1.0983070135116577,44933,11327,25203,44830
349972,1.04730224609375,45254,7101,23856,45830
349982,1.046179175376892,44907,5976,24325,45928
349992,0.9886511564254761,44976,5195,24502,45618
350002,0.9826946258544922,45403,6208,23658,45066
350012,0.9925947785377502,45438,5740,23597,44783
350022,0.9487631916999817,45388,8626,22962,43146
350032,0.9503657221794128,43871,12935,25700,40126
350042,0.9624043107032776,38410,22559,32159,33459
350052,0.9098538160324097,35025,28858,35432,26726
350062,0.8648719191551208,31614,33764,37637,21241
350072,0.8446740508079529,47132,51804,52954,39581
350082,0.8702195882797241,47073,52091,52831,39344
350092,0.9144709706306458,48826,55636,55802,38067
350102,0.9506343603134155,51811,55402,55966,43371
350112,1.010756254196167,53374,54946,56123,46423
350122,1.0672346353530884,55612,52156,54884,51161
350132,1.098252296447754,56596,47798,53739,54746
350142,1.1370716094970703,57627,45243,52536,56496
350152,1.1854922771453857,58314,41355,51082,57873
350162,1.2175078392028809,58014,42250,51037,57409
350172,1.2484098672866821,57691,42054,50735,57238
350182,1.2572124004364014,57016,44490,51684,55914
350192,1.2854208946228027,56659,46838,52270,54654
350202,1.2998026609420776,55772,49399,53379,52322
350212,1.3325427770614624,54945,50112,52639,49377
350222,1.333814024925232,41039,34827,39055,29940
350232,1.3207192420959473,39908,35828,39995,27677
350242,1.2466415166854858,37765,33459,37854,27497
350252,1.1591607332229614,37441,34139,38307,25696
350262,1.1383107900619507,36921,33130,36649,25943
350272,1.0624337196350098,36451,32412,36703,25787
350282,1.0211217403411865,36464,30904,35851,27432
350292,0.9802260994911194,36863,30257,34912,27719
350302,0.9422028064727783,36633,27760,34745,29892
350312,0.9097563028335571,37204,26356,33321,31318
350322,0.8776158094406128,37165,25840,33064,31353
350332,0.8612775206565857,37693,25262,31501,32100
350342,0.8469153642654419,37067,23378,32118,33082
350352,0.8189079761505127,36667,22955,31660,33589
350362,0.8093501925468445,36056,23702,32266,32144
350372,0.7856090664863586,49266,42336,47381,47923
350382,0.7843331098556519,50424,45711,49315,49555
350392,0.8759270906448364,52912,48280,51130,51724
350402,0.9292740821838379,54097,49790,52659,52227
350412,0.9809447526931763,55356,50651,53293,52951
350422,1.0390576124191284,56186,51573,53328,53116
350432,1.1046167612075806,56697,51438,52754,53098
350442,1.1585791110992432,56516,52039,52557,53708
350452,1.1657274961471558,56781,52097,52745,53112
350462,1.1917551755905151,43886,32359,36676,36265
350472,1.2074096202850342,43659,30284,37722,34723
350482,1.1756163835525513,39133,28888,35833,33588
350492,1.1026703119277954,38797,28434,36758,32628
350502,1.0513570308685303,36653,29157,36385,31917
350512,0.9945462346076965,36329,27509,36347,31549
350522,0.9764430522918701,35631,28957,36026,31129
350532,0.9515573978424072,35301,28739,36124,29880
350542,0.9062954187393188,35523,29184,35160,30289
350552,0.889793872833252,36082,29283,34561,29448
350562,0.8662642240524292,35926,28992,33929,29844
350572,0.8434668183326721,36552,28570,32958,29795
350582,0.8043230772018433,36897,28431,31792,29982
350592,0.8050804138183594,37008,28625,31131,29379
350602,0.7660974860191345,36656,27476,31210,30051
350612,0.7692491412162781,36555,27895,30849,29361
350622,0.7668790221214294,36020,27128,31048,29748
